LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"124","4175",0.0063715776,39.0017326520,-73.1710263570,7.0496671060,770.0000000000
"124","4176",0.0076309608,82.0017326710,-73.1705863530,7.0484870880,727.0000000000
"124","4177",0.0100881619,82.0041898720,-73.1702963770,7.0460470570,727.0000000000
"124","4178",0.0142554279,104.0041902700,-73.1703670490,7.0418803903,749.0000000000
"124","4179",0.0148088848,111.0041902900,-73.1703764350,7.0413270130,742.0000000000
"124","4180",0.0189755638,117.0041917400,-73.1703865590,7.0371603463,748.0000000000
"124","4181",0.0230790072,124.0041929400,-73.1703965300,7.0330569150,755.0000000000
"124","4182",0.0272456739,124.0083596000,-73.1703965810,7.0288902483,755.0000000000
"124","4183",0.0274890522,124.0086029800,-73.1703965840,7.0286468700,755.0000000000
"124","4184",0.0303084816,124.0114224100,-73.1706266250,7.0258368410,755.0000000000
"124","4185",0.0312710410,127.0114225700,-73.1705566280,7.0248768300,758.0000000000
"124","4186",0.0335808974,156.0114226600,-73.1709266710,7.0225968070,787.0000000000
"124","4187",0.0357361282,170.0114228200,-73.1715267190,7.0205267920,773.0000000000
"124","4188",0.0363674039,170.0120541000,-73.1715667210,7.0198967850,773.0000000000
"124","4189",0.0381009100,170.0137876100,-73.1716767460,7.0181667740,773.0000000000
"124","4190",0.0414415084,172.0137904000,-73.1720467980,7.0148467350,771.0000000000
"124","4191",0.0456091280,179.0137916400,-73.1721359170,7.0106800683,764.0000000000
"124","4192",0.0456525153,179.0138350200,-73.1721368450,7.0106366910,764.0000000000
"124","4193",0.0480172977,199.0138351600,-73.1722868820,7.0082766730,784.0000000000
"124","4194",0.0494949538,199.0153128200,-73.1724369010,7.0068066520,784.0000000000
"124","4195",0.0495459464,199.0153638100,-73.1724469080,7.0067566510,784.0000000000
"124","4196",0.0495959464,199.0154138100,-73.1724469080,7.0067066510,784.0000000000
"124","4197",0.0523115008,224.0154139600,-73.1727369470,7.0040066300,809.0000000000
"124","4198",0.0556315550,224.0187340100,-73.1727469900,7.0006865910,809.0000000000
"124","4199",0.0580761912,231.0187344400,-73.1725970070,6.9982465600,816.0000000000
"124","4200",0.0615600456,240.0187351200,-73.1729070610,6.9947765300,807.0000000000
"124","4201",0.0621521637,240.0193272300,-73.1728570700,6.9941865260,807.0000000000
"124","4202",0.0641486136,240.0213236800,-73.1726970800,6.9921964970,807.0000000000
"124","4203",0.0666165353,249.0213240200,-73.1723270990,6.9897564660,816.0000000000
"124","4204",0.0706337982,259.0213248300,-73.1711471080,6.9859164110,826.0000000000
"124","4205",0.0732122434,268.0213252000,-73.1705571130,6.9834063740,817.0000000000
"124","4206",0.0761159445,271.0213266000,-73.1701871420,6.9805263390,814.0000000000
"124","4207",0.0802865951,273.0213309500,-73.1700048920,6.9763596723,812.0000000000
"124","4208",0.0809205830,273.0219649400,-73.1699771880,6.9757262900,812.0000000000
"124","4209",0.0836858449,280.0219654900,-73.1695372020,6.9729962560,819.0000000000
"124","4210",0.0854065700,280.0236862100,-73.1689572040,6.9713762260,819.0000000000
"124","4211",0.0879563436,300.0236863700,-73.1682172080,6.9689361950,839.0000000000
"124","4212",0.0908811826,331.0236865100,-73.1677072260,6.9660561600,870.0000000000
"124","4213",0.0936742489,331.0264795800,-73.1671172390,6.9633261170,870.0000000000
"124","4214",0.0959974004,356.0264796900,-73.1662372320,6.9611760890,845.0000000000
"124","4215",0.0990997185,368.0264800900,-73.1652772380,6.9582260400,857.0000000000
"124","4216",0.1006005679,368.0279809400,-73.1650972510,6.9567360220,857.0000000000
"124","4217",0.1035910719,383.0279812300,-73.1643672630,6.9538359820,872.0000000000
"124","4218",0.1063617619,383.0307519200,-73.1633572600,6.9512559400,872.0000000000
"124","4219",0.1065233207,383.0309134800,-73.1632972520,6.9511059390,872.0000000000
"124","4220",0.1085098258,402.0309135900,-73.1623572460,6.9493559130,853.0000000000
"124","4221",0.1096944047,402.0320981700,-73.1621172520,6.9481959000,853.0000000000
"124","4222",0.1102252588,402.0326290200,-73.1620872570,6.9476658940,853.0000000000
"124","4223",0.1105159566,402.0329197200,-73.1619572530,6.9474058860,853.0000000000
"124","4224",0.1108321932,402.0332359500,-73.1617772490,6.9471458780,853.0000000000
"124","4225",0.1111234010,402.0335271600,-73.1616972540,6.9468658730,853.0000000000
"124","4226",0.1114161499,402.0338199100,-73.1616572520,6.9465758700,853.0000000000
"124","4227",0.1117161519,402.0341199100,-73.1616572610,6.9462758680,853.0000000000
"124","4228",0.1120263121,402.0344300700,-73.1616472630,6.9459658690,853.0000000000
"124","4229",0.1123263141,407.0344300800,-73.1616472630,6.9456658670,858.0000000000
"124","4230",0.1126369664,407.0347407300,-73.1616272660,6.9453558590,858.0000000000
"124","4231",0.1129276579,407.0350314300,-73.1616072700,6.9450658560,858.0000000000
"124","4232",0.1132357176,407.0353394900,-73.1615372730,6.9447658540,858.0000000000
"124","4233",0.1135318622,407.0356356300,-73.1614772740,6.9444758510,858.0000000000
"124","4234",0.1138333589,407.0359371300,-73.1614472800,6.9441758500,858.0000000000
"124","4235",0.1141348665,407.0362386300,-73.1614172760,6.9438758390,858.0000000000
"124","4236",0.1144363633,407.0365401300,-73.1613872810,6.9435758380,858.0000000000
