,LINE_ID,X,Y,Z,Compañia,Estado,INFO,Campo
118,2,-73.445446115,7.3699985495,138.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
119,2,-73.445513983,7.3658318829,144.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
120,2,-73.445581852,7.3616652162,151.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
121,2,-73.44564972,7.3574985495,149.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
122,2,-73.445717589,7.3533318829,148.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
123,2,-73.445785457,7.3491652162,143.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
124,2,-73.445853325,7.3449985495,125.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
125,2,-73.445921194,7.3408318829,124.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
126,2,-73.445989062,7.3366652162,126.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
127,2,-73.446056931,7.3324985495,128.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
128,2,-73.446124799,7.3283318829,130.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
129,2,-73.446190034,7.3243268989,140.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
130,2,-73.449478366,7.3201602322,150.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
131,2,-73.452766698,7.3159935655,148.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
132,2,-73.456055029,7.3118268989,138.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
133,2,-73.458667205,7.3085169941,143.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
134,2,-73.461208658,7.3126836608,146.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
135,2,-73.463750111,7.3168503275,148.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
136,2,-73.466291564,7.3210169941,135.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
137,2,-73.468833018,7.3251836608,127.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
138,2,-73.471286654,7.3292063535,121.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
139,2,-73.469099121,7.3333730201,139.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
140,2,-73.466911589,7.3375396868,141.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
141,2,-73.464724056,7.3417063535,139.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
142,2,-73.463931566,7.3432158351,139.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
143,2,-73.463841959,7.3473825018,125.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
144,2,-73.463752352,7.3515491684,121.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
145,2,-73.463662745,7.3557158351,137.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
146,2,-73.463573138,7.3598825018,143.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
147,2,-73.463483531,7.3640491684,140.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
148,2,-73.463393924,7.3682158351,127.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
149,2,-73.463304318,7.3723825018,127.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
150,2,-73.463214711,7.3765491684,115.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
151,2,-73.463125104,7.3807158351,111.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
152,2,-73.463035497,7.3848825018,107.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
153,2,-73.46294589,7.3890491684,112.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
154,2,-73.462856283,7.3932158351,127.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
155,2,-73.462766676,7.3973825018,129.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
156,2,-73.462677069,7.4015491684,118.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
157,3,-73.679445868,7.8381935656,42.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
158,3,-73.675279201,7.8381935656,39.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
159,3,-73.671112534,7.8381935656,41.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
160,3,-73.666945868,7.8381935656,43.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
161,3,-73.662779201,7.8381935656,44.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
162,3,-73.658612534,7.8381935656,43.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
163,3,-73.654445868,7.8381935656,44.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
164,3,-73.650279201,7.8381935656,47.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
165,3,-73.646112534,7.8381935656,51.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
166,3,-73.641945868,7.8381935656,50.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
167,3,-73.637779201,7.8381935656,51.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
168,3,-73.633612534,7.8381935656,49.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
169,3,-73.629445868,7.8381935656,44.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
170,3,-73.628107047,7.8381935656,46.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
171,3,-73.628209628,7.8340268989,45.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
172,3,-73.628312208,7.8298602323,44.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
173,3,-73.628414789,7.8256935656,44.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
174,3,-73.62851737,7.8215268989,44.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
175,3,-73.628619951,7.8173602323,45.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
176,3,-73.628722532,7.8131935656,45.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
177,3,-73.628820086,7.8092310872,46.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
178,3,-73.628619823,7.8050644205,45.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
179,3,-73.62841956,7.8008977538,46.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
180,3,-73.628219297,7.7967310872,48.0,ECOPETROLS.A.,PRODUCCIÓN,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS",SANTA LUCIA
