OBJECTID;TOPE_CHORROS_WGS84_tif;X;Y;TOPE_CHORROS_WGS84_Band_1
210;-2393;-73,662202935220378;7,811736687871578;-2393,1071777
211;-2399;-73,652498718947285;7,811736687871578;-2399,9526367
212;-2437;-73,642794502674192;7,811736687871578;-2437,5212402
213;-2478;-73,633090286401099;7,811736687871578;-2478,0139160
214;-2510;-73,623386070128007;7,811736687871578;-2510,2399902
215;-1305;-73,846583044409158;7,802032471598483;-1305,6846924
216;-1338;-73,836878828136065;7,802032471598483;-1338,6239014
217;-1376;-73,827174611862972;7,802032471598483;-1376,8306885
218;-1425;-73,817470395589879;7,802032471598483;-1425,1182861
219;-1486;-73,807766179316786;7,802032471598483;-1486,7250977
220;-1561;-73,798061963043693;7,802032471598483;-1561,1295166
221;-1645;-73,788357746770600;7,802032471598483;-1645,4625244
222;-1738;-73,778653530497493;7,802032471598483;-1738,2565918
223;-1833;-73,768949314224400;7,802032471598483;-1833,8833008
224;-1928;-73,759245097951307;7,802032471598483;-1928,3748779
225;-2019;-73,749540881678215;7,802032471598483;-2019,1278076
226;-2107;-73,739836665405122;7,802032471598483;-2107,2448730
227;-2184;-73,730132449132029;7,802032471598483;-2184,3657227
228;-2242;-73,720428232858936;7,802032471598483;-2242,3649902
229;-2324;-73,710724016585843;7,802032471598483;-2324,2905273
230;-2411;-73,701019800312750;7,802032471598483;-2411,0065918
231;-2451;-73,691315584039657;7,802032471598483;-2451,8505859
232;-2452;-73,681611367766564;7,802032471598483;-2452,9797363
233;-2412;-73,671907151493471;7,802032471598483;-2412,4682617
234;-2364;-73,662202935220378;7,802032471598483;-2364,3986816
235;-2358;-73,652498718947285;7,802032471598483;-2358,9221191
236;-2407;-73,642794502674192;7,802032471598483;-2407,8310547
237;-2456;-73,633090286401099;7,802032471598483;-2456,4997559
238;-2492;-73,623386070128007;7,802032471598483;-2492,2546387
239;-1301;-73,856287260682251;7,792328255325391;-1301,8612061
240;-1332;-73,846583044409158;7,792328255325391;-1332,4526367
241;-1363;-73,836878828136065;7,792328255325391;-1363,0061035
242;-1397;-73,827174611862972;7,792328255325391;-1397,2155762
243;-1443;-73,817470395589879;7,792328255325391;-1443,3763428
244;-1506;-73,807766179316786;7,792328255325391;-1506,6477051
245;-1584;-73,798061963043693;7,792328255325391;-1584,7145996
246;-1673;-73,788357746770600;7,792328255325391;-1673,3776855
247;-1769;-73,778653530497493;7,792328255325391;-1769,5484619
248;-1868;-73,768949314224400;7,792328255325391;-1868,7523193
249;-1964;-73,759245097951307;7,792328255325391;-1964,0714111
250;-2049;-73,749540881678215;7,792328255325391;-2049,9223633
251;-2133;-73,739836665405122;7,792328255325391;-2133,7844238
252;-2182;-73,730132449132029;7,792328255325391;-2182,8020020
253;-2245;-73,720428232858936;7,792328255325391;-2245,9055176
254;-2319;-73,710724016585843;7,792328255325391;-2319,5214844
255;-2413;-73,701019800312750;7,792328255325391;-2413,7438965
256;-2461;-73,691315584039657;7,792328255325391;-2461,7390137
257;-2476;-73,681611367766564;7,792328255325391;-2476,5590820
258;-2423;-73,671907151493471;7,792328255325391;-2423,1887207
259;-2353;-73,662202935220378;7,792328255325391;-2353,2868652
260;-2364;-73,652498718947285;7,792328255325391;-2364,9782715
261;-2419;-73,642794502674192;7,792328255325391;-2419,4970703
262;-2464;-73,633090286401099;7,792328255325391;-2464,4294434
263;-2493;-73,623386070128007;7,792328255325391;-2493,4179688
264;-1301;-73,865991476955344;7,782624039052298;-1301,1866455
265;-1330;-73,856287260682251;7,782624039052298;-1330,1325684
266;-1364;-73,846583044409158;7,782624039052298;-1364,0079346
267;-1393;-73,836878828136065;7,782624039052298;-1393,2637939
268;-1421;-73,827174611862972;7,782624039052298;-1421,9071045
269;-1465;-73,817470395589879;7,782624039052298;-1465,0148926
270;-1531;-73,807766179316786;7,782624039052298;-1531,1853027
271;-1613;-73,798061963043693;7,782624039052298;-1613,4219971
272;-1705;-73,788357746770600;7,782624039052298;-1705,1085205
273;-1801;-73,778653530497493;7,782624039052298;-1801,9232178
274;-1904;-73,768949314224400;7,782624039052298;-1904,0675049
275;-2001;-73,759245097951307;7,782624039052298;-2001,2576904
276;-2077;-73,749540881678215;7,782624039052298;-2077,6860352
277;-2167;-73,739836665405122;7,782624039052298;-2167,5766602
278;-2203;-73,730132449132029;7,782624039052298;-2203,5864258
279;-2234;-73,720428232858936;7,782624039052298;-2234,2602539
280;-2247;-73,710724016585843;7,782624039052298;-2247,4626465
281;-2243;-73,701019800312750;7,782624039052298;-2243,9458008
282;-2392;-73,691315584039657;7,782624039052298;-2392,8164062
283;-2473;-73,681611367766564;7,782624039052298;-2473,4765625
284;-2440;-73,671907151493471;7,782624039052298;-2440,8752441
285;-2373;-73,662202935220378;7,782624039052298;-2373,2265625
286;-2411;-73,652498718947285;7,782624039052298;-2411,9814453
287;-2466;-73,642794502674192;7,782624039052298;-2466,7133789
288;-2494;-73,633090286401099;7,782624039052298;-2494,6523438
289;-1266;-73,885399909501530;7,772919822779203;-1266,1420898
290;-1295;-73,875695693228437;7,772919822779203;-1295,0458984
291;-1327;-73,865991476955344;7,772919822779203;-1327,3271484
292;-1355;-73,856287260682251;7,772919822779203;-1355,6218262
293;-1402;-73,846583044409158;7,772919822779203;-1402,0300293
294;-1434;-73,836878828136065;7,772919822779203;-1434,4932861
295;-1458;-73,827174611862972;7,772919822779203;-1458,1705322
296;-1499;-73,817470395589879;7,772919822779203;-1499,3310547
297;-1570;-73,807766179316786;7,772919822779203;-1570,4526367
298;-1654;-73,798061963043693;7,772919822779203;-1654,5177002
299;-1744;-73,788357746770600;7,772919822779203;-1744,4337158
300;-1833;-73,778653530497493;7,772919822779203;-1833,9771729
301;-1936;-73,768949314224400;7,772919822779203;-1936,7182617
