OBJECTID;TOPE_MUGROSA_WGS84_tif;X;Y;TOPE_MUGROSA_WGS84_Band_1
279;-1908;-73,692150424385531;7,869982272343667;-1908,2924805
280;-1979;-73,682469152200611;7,869982272343667;-1979,0842285
281;-2063;-73,672787880015676;7,869982272343667;-2063,7333984
282;-2134;-73,663106607830755;7,869982272343667;-2134,6926270
283;-2191;-73,653425335645835;7,869982272343667;-2191,7084961
284;-2247;-73,643744063460915;7,869982272343667;-2247,6054688
285;-2305;-73,634062791275994;7,869982272343667;-2305,3596191
286;-2364;-73,624381519091074;7,869982272343667;-2364,4687500
287;-2411;-73,614700246906153;7,869982272343667;-2411,0500488
288;-2434;-73,605018974721233;7,869982272343667;-2434,4946289
289;-2434;-73,595337702536312;7,869982272343667;-2434,1955566
290;-2438;-73,585656430351392;7,869982272343667;-2438,0112305
291;-294;-73,934182229008570;7,860301000158745;-294,8699951
292;-343;-73,924500956823650;7,860301000158745;-343,3873291
293;-394;-73,914819684638729;7,860301000158745;-394,2610168
294;-446;-73,905138412453809;7,860301000158745;-446,8991089
295;-500;-73,895457140268874;7,860301000158745;-500,6141357
296;-554;-73,885775868083954;7,860301000158745;-554,8122559
297;-609;-73,876094595899033;7,860301000158745;-609,2733765
298;-663;-73,866413323714113;7,860301000158745;-663,8377686
299;-717;-73,856732051529193;7,860301000158745;-717,1982422
300;-772;-73,847050779344272;7,860301000158745;-772,1846924
301;-830;-73,837369507159352;7,860301000158745;-830,3132935
302;-891;-73,827688234974431;7,860301000158745;-891,9350586
303;-956;-73,818006962789511;7,860301000158745;-956,7572021
304;-1024;-73,808325690604590;7,860301000158745;-1024,1564941
305;-1093;-73,798644418419670;7,860301000158745;-1093,7164307
306;-1167;-73,788963146234735;7,860301000158745;-1167,0042725
307;-1251;-73,779281874049815;7,860301000158745;-1251,9569092
308;-1338;-73,769600601864894;7,860301000158745;-1338,7075195
309;-1423;-73,759919329679974;7,860301000158745;-1423,9443359
310;-1505;-73,750238057495054;7,860301000158745;-1505,9365234
311;-1583;-73,740556785310133;7,860301000158745;-1583,2766113
312;-1655;-73,730875513125213;7,860301000158745;-1655,3341064
313;-1723;-73,721194240940292;7,860301000158745;-1723,3593750
314;-1791;-73,711512968755372;7,860301000158745;-1791,1741943
315;-1863;-73,701831696570451;7,860301000158745;-1863,5631104
316;-1941;-73,692150424385531;7,860301000158745;-1941,1527100
317;-2018;-73,682469152200611;7,860301000158745;-2018,6217041
318;-2099;-73,672787880015676;7,860301000158745;-2099,8239746
319;-2164;-73,663106607830755;7,860301000158745;-2164,9990234
320;-2217;-73,653425335645835;7,860301000158745;-2217,3046875
321;-2263;-73,643744063460915;7,860301000158745;-2263,6228027
322;-2310;-73,634062791275994;7,860301000158745;-2310,2966309
323;-2364;-73,624381519091074;7,860301000158745;-2364,5800781
324;-2407;-73,614700246906153;7,860301000158745;-2407,0175781
325;-2430;-73,605018974721233;7,860301000158745;-2430,9992676
326;-2440;-73,595337702536312;7,860301000158745;-2440,0175781
