LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,Id_2,Campo,Compañia,Estado,Info_hidro,INFO
"13","516",0.0046148323,1.0000106483,-73.5359348480,7.6950570528,63.0000000000,"19",CACHIRA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"13","518",0.0097626602,3.0008267960,-73.5373609270,7.6901106973,65.0000000000,"19",CACHIRA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"13","519",0.0113237682,4.0008280145,-73.5375035340,7.6885561166,66.0000000000,"19",CACHIRA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"13","520",0.0135603655,4.0030646118,-73.5382165740,7.6864362245,66.0000000000,"19",CACHIRA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"13","521",0.0173005404,5.0030716062,-73.5417817700,7.6853056111,65.0000000000,"19",CACHIRA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"13","522",0.0213324363,6.0030797343,-73.5443487110,7.6884147907,66.0000000000,"19",CACHIRA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"13","524",0.0263115949,10.0038668100,-73.5437782790,7.6933611660,62.0000000000,"19",CACHIRA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","526",0.0000000000,0.0000000000,-73.5293914530,7.2977082067,157.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","535",0.0370496488,45.0000202420,-73.4952391020,7.3120711237,150.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","542",0.0663243322,155.0000256900,-73.4666023550,7.3181492641,148.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","548",0.0934619940,190.0000487200,-73.4514422300,7.2956409698,163.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","554",0.1191031566,221.0000668000,-73.4594008980,7.2712662119,168.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","561",0.1571033076,272.0001058600,-73.4883621220,7.2466642008,171.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","565",0.1774264795,290.0001366200,-73.5021245440,7.2317100353,155.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","571",0.2078990763,318.0001542300,-73.5196462520,7.2067787516,137.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","583",0.2604206170,385.0063526100,-73.5426420230,7.2539985224,148.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"14","585",0.2701596471,400.0063563200,-73.5350669410,7.2601195392,133.0000000000,"21",LAS MONAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","595",0.0000000000,0.0000000000,-73.5617502600,7.1379250918,122.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","600",0.0223699150,33.0028426750,-73.5426724200,7.1496062361,155.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","604",0.0392858739,63.0048225130,-73.5334029110,7.1354561174,175.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","617",0.0907099625,433.0060440000,-73.5380973190,7.0842467488,209.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","625",0.1233359094,703.0102170700,-73.5384117140,7.0516223168,283.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","631",0.1477703821,1070.0110841000,-73.5269855580,7.0300240201,650.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","642",0.1927196959,1613.0110876000,-73.5326898720,6.9854381296,571.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","656",0.2505198013,2186.0114486000,-73.5519419300,6.9309384925,292.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","660",0.2654526852,2274.0156351000,-73.5533680080,6.9160738593,204.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","666",0.2876530891,2400.0156381000,-73.5753356440,6.9192802448,152.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","670",0.3027671564,2433.0182515000,-73.5904460460,6.9196131001,145.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","688",0.3772019515,2562.0267001000,-73.5799523910,6.9933044968,110.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"15","704",0.4443393034,2622.0267711000,-73.5916711660,7.0594111858,104.0000000000,"22",LISAMA-NUTRIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"16","723",0.0000000000,0.0000000000,-73.9640785770,6.9797761245,78.0000000000,"23",PEÑAS BLANCAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"16","727",0.0169055883,12.0000184160,-73.9494612740,6.9712829883,82.0000000000,"23",PEÑAS BLANCAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"16","733",0.0456316817,23.0000701780,-73.9651481360,6.9472182672,79.0000000000,"23",PEÑAS BLANCAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"16","736",0.0567906869,36.0000767020,-73.9752204900,6.9424150312,84.0000000000,"23",PEÑAS BLANCAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"16","739",0.0660502042,43.0009407360,-73.9844001940,6.9412018943,77.0000000000,"23",PEÑAS BLANCAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"16","740",0.0705098932,44.0009506800,-73.9883219100,6.9433253289,78.0000000000,"23",PEÑAS BLANCAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
